IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHS9_86,Population (in thousands) total,numeric,AMR,Americas,Country,CHL,Chile,Year,2016,true,,,,,,,,,,,,,17910,,,,,,"17,910",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2016,true,,,,,,,,,,,,,17988,,,,,,"17,988",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AFR,Africa,Country,MLI,Mali,Year,2016,true,,,,,,,,,,,,,17995,,,,,,"17,995",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2016,true,,,,,,,,,,,,,178,,,,,,178,,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AFR,Africa,Country,MWI,Malawi,Year,2016,true,,,,,,,,,,,,,18092,,,,,,"18,092",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2016,true,,,,,,,,,,,,,18430,,,,,,"18,430",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2016,true,,,,,,,,,,,,,18646,,,,,,"18,646",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AFR,Africa,Country,NGA,Nigeria,Year,2016,true,,,,,,,,,,,,,185990,,,,,,"185,990",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,EUR,Europe,Country,ROU,Romania,Year,2016,true,,,,,,,,,,,,,19778,,,,,,"19,778",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2016,true,,,,,,,,,,,,,193203,,,,,,"193,203",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2016,true,,,,,,,,,,,,,195,,,,,,195,,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,WPR,Western Pacific,Country,NIU,Niue,Year,2016,true,,,,,,,,,,,,,2,,,,,,2,,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AFR,Africa,Country,GMB,Gambia,Year,2016,true,,,,,,,,,,,,,2039,,,,,,"2,039",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,EUR,Europe,Country,SVN,Slovenia,Year,2016,true,,,,,,,,,,,,,2078,,,,,,"2,078",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,EUR,Europe,Country,MKD,The former Yugoslav Republic of Macedonia,Year,2016,true,,,,,,,,,,,,,2081,,,,,,"2,081",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AFR,Africa,Country,LSO,Lesotho,Year,2016,true,,,,,,,,,,,,,2204,,,,,,"2,204",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AFR,Africa,Country,BWA,Botswana,Year,2016,true,,,,,,,,,,,,,2250,,,,,,"2,250",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AFR,Africa,Country,NAM,Namibia,Year,2016,true,,,,,,,,,,,,,2480,,,,,,"2,480",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2016,true,,,,,,,,,,,,,2570,,,,,,"2,570",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AMR,Americas,Country,JAM,Jamaica,Year,2016,true,,,,,,,,,,,,,2881,,,,,,"2,881",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,EUR,Europe,Country,LTU,Lithuania,Year,2016,true,,,,,,,,,,,,,2908,,,,,,"2,908",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,EUR,Europe,Country,ARM,Armenia,Year,2016,true,,,,,,,,,,,,,2925,,,,,,"2,925",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,EUR,Europe,Country,ALB,Albania,Year,2016,true,,,,,,,,,,,,,2926,,,,,,"2,926",,,EN,2018-03-14T15:00:00.000Z
