country,vaccine,doses
Iceland,Janssen,57500
Iceland,Moderna,43220
Iceland,Pfizer/BioNTech,300860
India,Covaxin,1650000
India,Sputnik V,3360000
India,Covishield,153440000
India,Unknown,360214759
Indonesia,AstraZeneca,14906200
Indonesia,Moderna,8000160
Indonesia,Sinopharm,5482400
Indonesia,Sinovac,118280000
Iran,AstraZeneca,5064610
Iran,Covaxin,125000
Iran,Sputnik V,200000
Iran,Sinopharm,650000
Iran,Unknown,10326404
Iraq,AstraZeneca,1084800
Iraq,Pfizer/BioNTech,550000
Iraq,Sinopharm,750000
Ireland,AstraZeneca,1442700
Ireland,Janssen,281500
Ireland,Moderna,607200
Ireland,Pfizer/BioNTech,4396080
Israel,Moderna,120000
Israel,Pfizer/BioNTech,8000000
Israel,Unknown,3582556
Italy,AstraZeneca,10128802
Italy,Janssen,2264639
Italy,Moderna,7703421
Italy,Pfizer/BioNTech,51708460
Jamaica,AstraZeneca,189800
Jamaica,Covishield,125000
Jamaica,Unknown,179960
Japan,Pfizer/BioNTech,7501340
Japan,Unknown,92149752
Jordan,AstraZeneca,436800
Jordan,Pfizer/BioNTech,1540950
Jordan,Sinopharm,150000
Jordan,Unknown,3615074
Kazakhstan,Sputnik V,22000
Kazakhstan,Sinovac,500000
Kazakhstan,Unknown,9561693
Kenya,AstraZeneca,541100
Kenya,Covishield,1192000
Kiribati,AstraZeneca,48000
Kosovo,AstraZeneca,100800
Kosovo,Pfizer/BioNTech,100620
Kuwait,Pfizer/BioNTech,185100
Kuwait,Covishield,588000
Kuwait,Unknown,1637455
Kyrgyzstan,AstraZeneca,226560
Kyrgyzstan,Sputnik V,120000
Kyrgyzstan,Sinopharm,150000
Kyrgyzstan,Unknown,225332
Lao,Janssen,1008000
Lao,Pfizer/BioNTech,100620
Lao,Covishield,132000
Lao,Sinopharm,1602000
Latvia,AstraZeneca,447800
Latvia,Janssen,110200
Latvia,Moderna,315600
Latvia,Pfizer/BioNTech,1091415
Lebanon,AstraZeneca,292800
Lebanon,Sputnik V,50000
Lebanon,Pfizer/BioNTech,588510
Lebanon,Sinopharm,50000
Lebanon,Unknown,1542842
Lesotho,AstraZeneca,36000
Lesotho,Janssen,302400
Lesotho,Covishield,36000
Liberia,Janssen,302400
Liberia,Covishield,123000
Libya,AstraZeneca,175200
Libya,Sputnik V,302500
Libya,Pfizer/BioNTech,54990
Libya,Sinovac,150000
Libya,Unknown,284917
Liechtenstein,Moderna,33700
Liechtenstein,Pfizer/BioNTech,14040
Lithuania,AstraZeneca,1039430
Lithuania,Janssen,174349
Lithuania,Moderna,453952
Lithuania,Pfizer/BioNTech,3459540
Luxembourg,AstraZeneca,177800
Luxembourg,Janssen,41850
Luxembourg,Moderna,80400
Luxembourg,Pfizer/BioNTech,550800
Madagascar,Janssen,302750
Madagascar,Covishield,250000
Malawi,AstraZeneca,192000
Malawi,Janssen,304350
Malawi,Covishield,426000
Malawi,Unknown,366077
Malaysia,AstraZeneca,828000
Malaysia,Pfizer/BioNTech,1000000
Malaysia,Sinovac,12000000
Malaysia,Unknown,11542437
Maldives,Pfizer/BioNTech,5850
Maldives,Covishield,212000
Maldives,Sinopharm,200000
Maldives,Unknown,204808
Mali,Janssen,151200
Mali,Covishield,296000
Malta,Unknown,774250
Mauritania,AstraZeneca,105600
Mauritania,Janssen,302400
Mauritania,Pfizer/BioNTech,5000
Mauritania,Covishield,69600
Mauritania,Sinopharm,50000
Mauritius,AstraZeneca,100800
Mauritius,Covaxin,200000
Mauritius,Sputnik V,60000
Mauritius,Covishield,200000
Mauritius,Sinopharm,100000
Mauritius,Unknown,677673
Mexico,AstraZeneca,26169800
Mexico,CanSino,8100000
Mexico,Sputnik V,4400000
Mexico,Janssen,1350000
Mexico,Pfizer/BioNTech,21120450
Mexico,Covishield,870000
Mexico,Sinovac,15000000
Monaco,Unknown,44060
Mongolia,AstraZeneca,112800
Mongolia,Sputnik V,40000
Mongolia,Pfizer/BioNTech,126360
Mongolia,Covishield,150000
Mongolia,Sinopharm,2300000
Mongolia,Unknown,1710827
Montenegro,AstraZeneca,48000
Montenegro,Sputnik V,2000
Montenegro,Sinopharm,30000
Montenegro,Unknown,314493
Montserrat,Unknown,2791
Morocco,AstraZeneca,957600
Morocco,Janssen,302400
Morocco,Covishield,7000000
Morocco,Sinopharm,4500000
Morocco,Unknown,14166395
Mozambique,AstraZeneca,108000
Mozambique,Janssen,302400
Mozambique,Covishield,484000
Mozambique,Sinopharm,260000
Mozambique,Unknown,50000
Myanmar,Covaxin,200000
Myanmar,Covishield,3500000
Myanmar,Sinopharm,1236000
Namibia,AstraZeneca,67200
Namibia,Covishield,30000
Namibia,Sinopharm,250000
Namibia,Sinovac,100000
Nauru,AstraZeneca,7200
Nauru,Covishield,10000
Nepal,Janssen,1534850
Nepal,Covishield,2448000
Nepal,Sinopharm,1600000
Netherlands,AstraZeneca,3802600
Netherlands,Janssen,1432800
Netherlands,Moderna,2304000
Netherlands,Pfizer/BioNTech,15192450
New Caledonia,Unknown,130078
New Zealand,Pfizer/BioNTech,620620
New Zealand,Unknown,1501024
Nicaragua,AstraZeneca,134400
Nicaragua,Covishield,335000
Nicaragua,Unknown,215640
Niger,Janssen,302400
Niger,Covishield,380200
Niger,Sinopharm,400000
Nigeria,Moderna,4000080
Nigeria,Covishield,4324000
Niue,Unknown,1216
North Macedonia,AstraZeneca,62400
North Macedonia,Sputnik V,39000
North Macedonia,Pfizer/BioNTech,115830
North Macedonia,Sinopharm,200000
North Macedonia,Sinovac,530000
North Macedonia,Unknown,148393
Norway,AstraZeneca,345600
Norway,Janssen,403900
Norway,Moderna,632400
Norway,Pfizer/BioNTech,3933540
Norway,Unknown,308509
Oman,AstraZeneca,132000
Oman,Pfizer/BioNTech,355560
Oman,Covishield,100000
Oman,Unknown,1534821
Pakistan,AstraZeneca,2474400
Pakistan,CanSino,390000
